Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Total Wine & More,"4320 SUMMIT PLAZA DR #5, LOUISVILLE, KY 40241, USA",ChIJjxkPgHGeaYgRIsB_wQz1Z4k,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241",76,"4320 SUMMIT PLAZA DR, LOUISVILLE, KY 40241"
Kroger,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgRL7TNvs_JG0M,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Thorntons,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJH-Dr4HueaYgRxAbhKG_20yY,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",78,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
Speedway,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJRQFvKG6eaYgRXDVloJW8kvg,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9500 BROWNSBORO RD, LOUISVILLE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJb4_ndiCeaYgRQoVf0sbVR6A,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Circle K,"8001 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYzpMcSCeaYgRYKnFBLMgnwE,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241",75,"8001 BROWNSBORO RD, BARBOURMEADE, KY 40241"
Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJyZepOXmeaYgRbmUDpCbMfsg,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Liquor World #6,"3303 BARBOUR LN, LOUISVILLE, KY 40241, USA",ChIJL_uNdyCeaYgRYSOupLk4G_o,"3303 BARBOUR LN, BARBOURMEADE, KY 40241",72,"3303 BARBOUR LN, BARBOURMEADE, KY 40241"
Walgreens Pharmacy,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJteCfOXmeaYgRBX7OfAxLmXA,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Kroger Pharmacy,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJYZpYN26eaYgR2nNhzcozkT0,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9440 BROWNSBORO RD, LOUISVILLE, KY 40241"
Norton Children's Medical Center - Pharmacy - Brownsboro,"4910 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJB9-dqgefaYgR5AO16ZAWFP8,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241",72,"4740 CHAMBERLAIN LN, LOUISVILLE, KY 40241"
COVID-19 Drive-Thru Testing at Walgreens,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJP_J0krWfaYgRKee-nlARuhE,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",77,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Pendulum Smoke Shop,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJ0UH-K5OfaYgRDHwIbE-38aA,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241",79,"11314 MAPLE BROOK DR, LOUISVILLE, KY 40241"
INFINITY SMOKE OUTLET,"3707 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJf19rWWKfaYgRf1pL27Cuv7Y,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",74,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Puff & Stuff,"4102 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJ3bQSFLueaYgRE9JdYYFh57c,"4102 MURPHY LN, LOUISVILLE, KY 40241",74,"4102 MURPHY LN, LOUISVILLE, KY 40241"
Cloud 9 Smoke Shop 2,"10511 FISCHER PARK DR, LOUISVILLE, KY 40241, USA",ChIJOTRpeBCfaYgR5JznDUKb1Dg,"10511 FISCHER PARK DR, 40241",100,"10511 FISCHER PARK DR, 40241"
LIQUOR PALATE,"3707 CHAMBERLAIN LN SUITE 101, LOUISVILLE, KY 40241, USA",ChIJkbzrOVGfaYgRHgTP_v90JKA,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",85,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
Liquor Barn,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJrTdDvoyeaYgRWSEtK8Ri4zQ,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",79,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Speedway,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJ08hbw3-eaYgRYvym94bMjgg,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241",78,"10009 BROWNSBORO RD, LOUISVILLE, KY 40241"
Thorntons,"10320 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJu0waoPWeaYgRrAy0-hleI4M,"10320 WESTPORT RD, LOUISVILLE, KY 40241",77,"10320 WESTPORT RD, LOUISVILLE, KY 40241"
Speedway,"11301 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ9cWy5JWeaYgR80hdk6uGMGU,"11301 WESTPORT RD, LOUISVILLE, KY 40241",77,"11301 WESTPORT RD, LOUISVILLE, KY 40241"
Meijer Express Gas Station,"10701 FISCHER PARK DR, LOUISVILLE, KY 40241, USA",ChIJB6I33oyeaYgRxREVuv0Mip8,"10511 FISCHER PARK DR, 40241",93,"10511 FISCHER PARK DR, 40241"
Kroger Fuel Center,"10022 BALLARDSVILLE RD, LOUISVILLE, KY 40241, USA",ChIJ-YhgddifaYgRgNywaniCIa0,"10022 BALLARDSVILLE RD, SUITE FUEL, LOUISVILLE, KY 40241",69,"10022 BALLARDSVILLE RD, SUITE FUEL, LOUISVILLE, KY 40241"
Marathon Gas,"11701 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJY8W8br2caYgR_gVhMhLPQCw,"11701 WESTPORT RD, LOUISVILLE, KY 40245",77,"11701 WESTPORT RD, LOUISVILLE, KY 40245"
VALERO/ Krispy Krunchy Chicken,"11401 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ1xc30b2eaYgRsehFMO2Mkqg,"11401 WESTPORT RD, LOUISVILLE, KY 40241",77,"11401 WESTPORT RD, LOUISVILLE, KY 40241"
Star Food Mart,"11701 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJ6bjxVrqeaYgRZjm0m_3mKCc,"11701 WESTPORT RD, LOUISVILLE, KY 40245",77,"11701 WESTPORT RD, LOUISVILLE, KY 40245"
ATM (Louisville Foodmart),"4102 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJr7dsFLueaYgRddEtMRuWeQ4,"4102 MURPHY LN, LOUISVILLE, KY 40241",74,"4102 MURPHY LN, LOUISVILLE, KY 40241"
Liquor Junction,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJ0crP_PufaYgR9grwAVEUfp4,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241",79,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241"
Speedy Cafe,"11301 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJpSCwsPCfaYgR63B7FmZbYRE,"11301 WESTPORT RD, LOUISVILLE, KY 40241",77,"11301 WESTPORT RD, LOUISVILLE, KY 40241"
Meijer,"4100 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJdU9nV4yeaYgRYErIugEBQzc,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",73,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Fincastle Wine & Liquor,"4106 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJr7dsFLueaYgRpHnMrayB8eM,"4106 MURPHY LN, LOUISVILLE, KY 40241",74,"4106 MURPHY LN, LOUISVILLE, KY 40241"
Public Storage,"3520 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJi25-AsCeaYgRT0b_05jwpjg,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",68,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
ALDI,"10620 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ2dQqTPOeaYgRDbDIj3c7PfE,"9240 WESPORT RD, 40242",73,"9240 WESPORT RD, 40242"
Panera Bread,"10451 CHAMPION FARMS DR, LOUISVILLE, KY 40241, USA",ChIJHf64d2CeaYgRwxj5EuXl9EE,"10511 FISCHER PARK DR, 40241",61,"10511 FISCHER PARK DR, 40241"
Dunkin',"9913 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJQ7a5qX-eaYgRD0S2iL_WuUc,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",71,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
APNA Bazaar,"11324 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJR1B8wJaeaYgRUYblvAkBnfU,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241",76,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241"
Chamberlain Liqours,"11300 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJZ_vEVS-faYgRla0S_uyGtMU,"11300 WESTPORT RD, LOUISVILLE, KY 40241",77,"11300 WESTPORT RD, LOUISVILLE, KY 40241"
CVS Pharmacy,"4101 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJmcL4wIyeaYgRLm2jWiAymjo,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",76,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Meijer Pharmacy,"4100 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJdU9nV4yeaYgR8v7-wmSsLLM,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",73,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Save-A-Step Liquors,"13704 LA GRANGE RD #1960, LOUISVILLE, KY 40245, USA",ChIJM_sj02mZaYgRMtaKTirxoOE,"13704 LA GRANGE RD, LOUISVILLE, KY 40245",72,"13704 LA GRANGE RD, LOUISVILLE, KY 40245"
Marathon Gas,"13702 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJ9-asy2mZaYgRMMLnOAfUpqs,"13702 LA GRANGE RD, LOUISVILLE, KY 40245",77,"13702 LA GRANGE RD, LOUISVILLE, KY 40245"
Kroger,"12450 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJC8mTiTeZaYgR1TeLdIbMhqs,"12450 LA GRANGE RD, LOUISVILLE, KY 40245",77,"12450 LA GRANGE RD, LOUISVILLE, KY 40245"
Kroger Pharmacy,"12450 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJC8mTiTeZaYgRTg5DexWwbJQ,"12450 LA GRANGE RD, LOUISVILLE, KY 40245",77,"12450 LA GRANGE RD, LOUISVILLE, KY 40245"
Cameron Pharmaceuticals,"12305 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJ7Rmuga2eaYgRjG06CBb529o,"9240 WESPORT RD, 40242",68,"9240 WESPORT RD, 40242"
Kroger Fuel Center,"524 N 35TH ST, LOUISVILLE, KY 40212, USA",ChIJbakBrx1taYgRb4Mj0xwE2Ys,"524 N 35TH ST, LOUISVILLE, KY 40212",73,"524 N 35TH ST, LOUISVILLE, KY 40212"
West End Food Mart Inc.,"4301 W MARKET ST, LOUISVILLE, KY 40212, USA",ChIJAZDaIOhsaYgRzjYARy1NSBk,"4621 W MARKET ST, LOUISVILLE, KY 40212",69,"4621 W MARKET ST, LOUISVILLE, KY 40212"
ChargePoint Charging Station,"460 NORTHWESTERN PKWY, LOUISVILLE, KY 40212, USA",ChIJr5_5A-9saYgRTJ2apfx0u20,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203",62,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203"
Polly's Mini Mart,"LOUISVILLE, KY 40212, USA",ChIJW7yxXt1saYgRwn5PR8s4ihI,"2901 BANK ST, LOUISVILLE, KY 40212",76,"2901 BANK ST, LOUISVILLE, KY 40212"
Liquor,"3627 BANK ST, LOUISVILLE, KY 40212, USA",ChIJ___PXh1taYgRO8KYyj1t5GI,"3627 BANK ST, LOUISVILLE, KY 40212",72,"3627 BANK ST, LOUISVILLE, KY 40212"
Eddie's Liquors,"4621 W MARKET ST, LOUISVILLE, KY 40212, USA",ChIJrW0m_-htaYgRwgKXQZSOci0,"4621 W MARKET ST, LOUISVILLE, KY 40212",76,"4621 W MARKET ST, LOUISVILLE, KY 40212"
Kroger Pharmacy,"520 N 35TH ST, LOUISVILLE, KY 40212, USA",ChIJHchCqB1taYgRWINdIwR6UeU,"520 N 35TH ST, LOUISVILLE, KY 40212",73,"520 N 35TH ST, LOUISVILLE, KY 40212"
Kroger,"520 N 35TH ST, LOUISVILLE, KY 40212, USA",ChIJHchCqB1taYgRyu7Ie3IsFkM,"520 N 35TH ST, LOUISVILLE, KY 40212",73,"520 N 35TH ST, LOUISVILLE, KY 40212"
Kentucky Smokes,"527 N 22ND ST, LOUISVILLE, KY 40203, USA",ChIJ5e5wD-dtaYgRbMPlPlcu1XQ,"521 N 22ND ST, LOUISVILLE, KY 40203",69,"521 N 22ND ST, LOUISVILLE, KY 40203"
Circle K,"2100 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJS5xjEWxtaYgR-2eG4T0ZRvc,"2100 PORTLAND AVE, LOUISVILLE, KY 40212",77,"2100 PORTLAND AVE, LOUISVILLE, KY 40212"
Boone's Gas Station,"521 N 22ND ST, LOUISVILLE, KY 40203, USA",ChIJRfCo9WttaYgRsXrLiMp8hwI,"521 N 22ND ST, LOUISVILLE, KY 40203",73,"521 N 22ND ST, LOUISVILLE, KY 40203"
Shell,"521 N 22ND ST, LOUISVILLE, KY 40203, USA",ChIJU6pX2rdtaYgRXlW022Utpn8,"521 N 22ND ST, LOUISVILLE, KY 40203",73,"521 N 22ND ST, LOUISVILLE, KY 40203"
Marathon,"521 N 22ND ST, LOUISVILLE, KY 40203, USA",ChIJg6V_9GttaYgRiUTqqKCOBMU,"521 N 22ND ST, LOUISVILLE, KY 40203",73,"521 N 22ND ST, LOUISVILLE, KY 40203"
Shell,"2100 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJr_gCEWxtaYgRuWUybPgXYpo,"2100 PORTLAND AVE, LOUISVILLE, KY 40212",77,"2100 PORTLAND AVE, LOUISVILLE, KY 40212"
Boones gas station,"2102 LYTLE ST, LOUISVILLE, KY 40212, USA",ChIJUc1ucABtaYgR9iFvR72xMYg,"2124 BANK ST, LOUISVILLE, KY 40212",63,"2124 BANK ST, LOUISVILLE, KY 40212"
KENTUCKY CONVENIENCE STORE LLC,"631 N 25TH ST, LOUISVILLE, KY 40212, USA",ChIJmc2x44RtaYgRVQJ4W6hTXOk,"438 N 28TH ST, LOUISVILLE, KY 40212",62,"438 N 28TH ST, LOUISVILLE, KY 40212"
Lucky Junior,"359 N 26TH ST, LOUISVILLE, KY 40212, USA",ChIJCcZzhRZtaYgRF1aC-t_6kxw,"359 N 26TH ST, LOUISVILLE, KY 40212",73,"359 N 26TH ST, LOUISVILLE, KY 40212"
2 Brothers market,"438 N 28TH ST, LOUISVILLE, KY 40212, USA",ChIJoZo1-6ltaYgRIL9FPWaf_K4,"438 N 28TH ST, LOUISVILLE, KY 40212",73,"438 N 28TH ST, LOUISVILLE, KY 40212"
Sam's Food Mart,"2749 BANK ST, LOUISVILLE, KY 40212, USA",ChIJ00-FutttaYgRhq2k78U2xFQ,"2901 BANK ST, LOUISVILLE, KY 40212",64,"2901 BANK ST, LOUISVILLE, KY 40212"
Mr. Zee Corner Market,"358 N 26TH ST, LOUISVILLE, KY 40212, USA",ChIJmeRSkBZtaYgRevNPP92Uvq8,"358 N 26TH ST, LOUISVILLE, KY 40212",73,"358 N 26TH ST, LOUISVILLE, KY 40212"
Fantastic Market,"2600 BANK ST, LOUISVILLE, KY 40212, USA",ChIJPbvuwxNtaYgROSqpLKRCcms,"2600 BANK ST, LOUISVILLE, KY 40212",72,"2600 BANK ST, LOUISVILLE, KY 40212"
Save A Lot,"2626 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJreY_WxJtaYgRn6A1aZ4WsNY,"2620 PORTLAND AVE, LOUISVILLE, KY 40212",73,"2620 PORTLAND AVE, LOUISVILLE, KY 40212"
Family Dollar,"3022 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJm-s1VAVtaYgRP4xrZdadMns,"3022 PORTLAND AVE, LOUISVILLE, KY 40212",77,"3022 PORTLAND AVE, LOUISVILLE, KY 40212"
Parkway Liquor,"2038 NORTHWESTERN PKWY, LOUISVILLE, KY 40203, USA",ChIJPW_1j25taYgRYa1wy854I6g,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203",78,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203"
Jayz Liquors,"2620 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJvYqwWxJtaYgR6cZlj47pcWE,"2620 PORTLAND AVE, LOUISVILLE, KY 40212",77,"2620 PORTLAND AVE, LOUISVILLE, KY 40212"
Family Health Centers - Portland Pharmacy,"2215 PORTLAND AVE, LOUISVILLE, KY 40212, USA",ChIJU0hKWWxtaYgRJSSzgq67pBE,"2100 PORTLAND AVE, LOUISVILLE, KY 40212",70,"2100 PORTLAND AVE, LOUISVILLE, KY 40212"
Shell,"3002 RIVER RD, LOUISVILLE, KY 40207, USA",ChIJN3x5X3ZzaYgR0bPzNl8laWc,"3002 RIVER RD, LOUISVILLE, KY 40207",73,"3002 RIVER RD, LOUISVILLE, KY 40207"
Valero,"1035 ZORN AVE, LOUISVILLE, KY 40207, USA",ChIJC_Hh4HZzaYgRUqBf6Qht-Ks,"1035 ZORN AVE, LOUISVILLE, KY 40207",73,"1035 ZORN AVE, LOUISVILLE, KY 40207"
ZORN AVE BP,"1035 ZORN AVE, LOUISVILLE, KY 40207, USA",ChIJr5Qj3XZzaYgR3ZU_qwjblgc,"1035 ZORN AVE, LOUISVILLE, KY 40207",73,"1035 ZORN AVE, LOUISVILLE, KY 40207"
Walgreens,"3805 BROWNSBORO RD, LOUISVILLE, KY 40207, USA",ChIJm-YRTzN1aYgRrlL5u2BFCAE,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207",75,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207"
Sutherland Hardware & Mercantile,"3620 BROWNSBORO RD, LOUISVILLE, KY 40207, USA",ChIJo3FTRpF0aYgRItPAKOc46Ok,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207",69,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207"
Walgreens Pharmacy,"3805 BROWNSBORO RD, LOUISVILLE, KY 40207, USA",ChIJoaK9c1t1aYgR35whS0kUn_c,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207",75,"3805 BROWNSBORO RD, INDIAN HILLS, KY 40207"
Party Mart,"4808 BROWNSBORO CENTER, LOUISVILLE, KY 40207, USA",ChIJm2vK2Kl1aYgRuuf2SaFkDuE,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207",74,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207"
Thorntons,"4900 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJccVn8Kh1aYgRehRrcuuhOaE,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",77,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Brownsboro Hardware & Paint,"4858 BROWNSBORO RD, LOUISVILLE, KY 40207, USA",ChIJaZ3D0ql1aYgRHIK0PE82cFc,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207",72,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207"
Kroger,"2219 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJge1_16V1aYgRqavkWY-7Ozw,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",77,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
Kroger Liquor Store,"2227 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJHdVida11aYgRBMuHU6ubTmg,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",71,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
Shell,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJ4zybP2J1aYgRtLxbI8ZdpBQ,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",77,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
Speedway,"1415 LYNDON LN, LOUISVILLE, KY 40222, USA",ChIJVRorunB1aYgRB6VYdTFgm_g,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222",65,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222"
Estepp's,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJpd4BzMB1aYgRr2KEpX91-V8,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",77,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
CVS,"2311 LIME KILN CT, LOUISVILLE, KY 40222, USA",ChIJV2YLj6N1aYgRT1CcwONiLyw,"2121 CRUMS LN, SHIVELY, KY 40216",60,"2121 CRUMS LN, SHIVELY, KY 40216"
Walgreens,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJEyXQuKR1aYgRxmxUPmIqgJM,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Valvoline Instant Oil Change,"4935 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJB3G9baZ1aYgRa6ghJTR9vFM,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",74,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
Heine Brothers Coffee - Northfield,"4901 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJGTW2hah1aYgRts2pm43GUjk,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",74,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Taco Bell,"7420 WESTPORT RD, LOUISVILLE, KY 40222, USA",ChIJg9FghSl1aYgRUS34qLzs4Kk,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Westport Village,"1315 HERR LN, LOUISVILLE, KY 40222, USA",ChIJhdqUZXB1aYgRSYPj6zeHvAA,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",62,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Holiday Manor Shopping Center,"4943 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJf4mTgaZ1aYgRK989f1e_xtQ,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",71,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Milk & Honey,"1301 HERR LN #152, LOUISVILLE, KY 40222, USA",ChIJn3iKzr51aYgR7AfJ2jrZNFQ,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",61,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Holiday Green Cleaners & Laundry,"2229 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJqamIeKZ1aYgRUXbpe2npb5U,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",74,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
That Cute Little Shop,"4903 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJm7qJDXKeaYgR_rL-Bm4ZIrU,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",74,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Derby Fit,"4949 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJ9fdfJKR1aYgRfoNQkzWNBao,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",71,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Golden Keep Game Co.,"1201 HERR LN STE. 180C, LOUISVILLE, KY 40222, USA",ChIJazXWpuV1aYgRDi2ia3qT6Dw,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",69,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
FITNESS 19,"2400 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJSWB9kaR1aYgRI1wGwNCaHPk,"2420 LIME KILN LN, NORTHFIELD, KY 40222",73,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Westport Whiskey & Wine,"1115 HERR LN #140, LOUISVILLE, KY 40222, USA",ChIJgXG4TWV1aYgRsL4YTbc0uUs,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",75,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Anne Steele Linden Office,"2325 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJ_yRGdKR1aYgRDiGGXrhDMi8,"2420 LIME KILN LN, NORTHFIELD, KY 40222",70,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
CVS Pharmacy,"2311 LIME KILN CT, LOUISVILLE, KY 40222, USA",ChIJD0Fb3BN1aYgRZJM4yc39l_Y,"2121 CRUMS LN, SHIVELY, KY 40216",60,"2121 CRUMS LN, SHIVELY, KY 40216"
Walgreens Pharmacy,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJpby7uKR1aYgRKXu2xTaruGk,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Kroger Pharmacy,"2219 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJge1_16V1aYgRNmEvve_cjog,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",77,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
COVID-19 Drive-Thru Testing at Walgreens,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJ__8_x6R1aYgRnEA-Vf0oZkA,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Trippy's Smoke Shop,"8209 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJwU-irSOfaYgReddnUdK7VnE,"8209 SHELBYVILLE RD, LYNDON, KY 40222",83,"8209 SHELBYVILLE RD, LYNDON, KY 40222"
Smoke Palace,"9611 WHIPPS MILL RD, LOUISVILLE, KY 40242, USA",ChIJn0W7vSufaYgRoQvjEUn-jj0,"9611 WHIPPS MILL RD, LYNDON, KY 40242",83,"9611 WHIPPS MILL RD, LYNDON, KY 40242"
iSmoke vap & smoke outlet,"9905 LA GRANGE RD UNIT#2, LOUISVILLE, KY 40223, USA",ChIJ0eNoyfGfaYgRgk1m2hu371w,"9905 LA GRANGE RD, LYNDON, KY 40223",73,"9905 LA GRANGE RD, LYNDON, KY 40223"
Cox's Spirit Shoppe,"9200 WESTPORT RD, LOUISVILLE, KY 40242, USA",ChIJ9ZO_J0ieaYgRly_n51wNp2M,"9240 WESPORT RD, 40242",93,"9240 WESPORT RD, 40242"
723 Vapor,"2809 N HURSTBOURNE PKWY #101, LOUISVILLE, KY 40223, USA",ChIJR4YollqeaYgR4qLMuvbKgXs,"2809 N HURSTBOURNE PKY, 101, LOUISVILLE, KY 40223",81,"2809 N HURSTBOURNE PKY, 101, LOUISVILLE, KY 40223"
