Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Vapor Smoke Shop,"3715 KLONDIKE LN, LOUISVILLE, KY 40218, USA",ChIJQ1SWtqULaYgRXfylNrEVUUk,"3715 KLONDIKE LN, LOUISVILLE, KY 40218",76,"3715 KLONDIKE LN, LOUISVILLE, KY 40218"
Dollar General,"2817 DEL RIO PL, LOUISVILLE, KY 40220, USA",ChIJgSEb8BcLaYgRZaENL_-RLoU,"2817 DEL RIO PL, 101, LOUISVILLE, KY 40220",70,"2817 DEL RIO PL, 101, LOUISVILLE, KY 40220"
Buechel Liquor,"2141 BUECHEL BANK RD, LOUISVILLE, KY 40218, USA",ChIJryyZzasLaYgRR_8rknS8NsM,"2141 BUECHEL BANK RD, LOUISVILLE, KY 40218",79,"2141 BUECHEL BANK RD, LOUISVILLE, KY 40218"
L&B Sisters Grocery,"4109 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJ3Ra-5xULaYgRcW9xuDuXLzw,"4109 BARDSTOWN RD, 103, LOUISVILLE, KY 40218",72,"4109 BARDSTOWN RD, 103, LOUISVILLE, KY 40218"
CVS,"3700 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJnYnhwAsLaYgRyYssr17Rgpw,"3300 BARDSTOWN RD, LOUISVILLE, KY 40218",73,"3300 BARDSTOWN RD, LOUISVILLE, KY 40218"
Dollar Tree,"2221 HIKES LN, LOUISVILLE, KY 40218, USA",ChIJL3e1-AsLaYgRqUX-m5aY4p0,"2204 HEATHER LN, 40218",70,"2204 HEATHER LN, 40218"
Skyway Beverage Shoppe,"2216 HIKES LN, LOUISVILLE, KY 40218, USA",ChIJ8_y6VAkLaYgRslcXtLblz4Y,"2216 HIKES LN, LOUISVILLE, KY 40218",73,"2216 HIKES LN, LOUISVILLE, KY 40218"
SAGARMATHA GROCERY LLC,"4010 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJ3edmxx0LaYgRnFZO4WQzbMA,"1029 BARDSTOWN RD, UNIT A, 40204",72,"1029 BARDSTOWN RD, UNIT A, 40204"
Public Storage,"4127 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJ1zFiHasLaYgRiaZ6-wo61mU,"4527 BARDSTOWN RD, LOUISVILLE, KY 40218",73,"4527 BARDSTOWN RD, LOUISVILLE, KY 40218"
Public Storage,"3818 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJ-QLAxVkLaYgRZkNFfqAVfVA,"1029 BARDSTOWN RD, UNIT A, 40204",68,"1029 BARDSTOWN RD, UNIT A, 40204"
Asian Food Mart(Dixie Oriental Supermarket),"3900 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJG4Rl5AcLaYgRwtTqPNMW90g,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218",73,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218"
Hamro Asian Grocery,"3927 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJNxtkmzELaYgR4YqjvNcXIOk,"3327 NW BARDSTOWN RD RD, SUITE 102, 40218",71,"3327 NW BARDSTOWN RD RD, SUITE 102, 40218"
Monarca Mexican Grocery,"2259 HIKES LN, LOUISVILLE, KY 40218, USA",ChIJU42_DtYLaYgRc67NPwhOLhs,"2204 HEATHER LN, 40218",70,"2204 HEATHER LN, 40218"
Fern & Moody's Liquor Store,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJEyIX3AcLaYgRxTDVAx416fs,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218",77,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218"
Bardstown Square,"2253 HIKES LN, LOUISVILLE, KY 40218, USA",ChIJ20jdqw4LaYgR4FptUubCi5Y,"2253 HIKES LN, LOUISVILLE, KY 40218",73,"2253 HIKES LN, LOUISVILLE, KY 40218"
CVS Pharmacy,"3700 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJnYnhwAsLaYgRa4vHGHW0fG4,"3300 BARDSTOWN RD, LOUISVILLE, KY 40218",73,"3300 BARDSTOWN RD, LOUISVILLE, KY 40218"
Etscorn's Auto Service & Tire Pros,"3935 BARDSTOWN RD, LOUISVILLE, KY 40218, USA",ChIJFbvBZgcLaYgRIVlTyBExm5g,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218",73,"3903 BARDSTOWN RD, LOUISVILLE, KY 40218"
Bh International Market Inc.,"3914 BARDSTOWN RD #101, LOUISVILLE, KY 40218, USA",ChIJBQwBjgcLaYgRF34xTlZE3RA,"3327 NW BARDSTOWN RD RD, SUITE 102, 40218",70,"3327 NW BARDSTOWN RD RD, SUITE 102, 40218"
