Low_Lat,Low_Lon,High_Lat,High_Lon
38.37117425591604,-85.6502075962595,38.41285255230088,-85.60912780727399
38.32998942323958,-85.64941269100738,38.371667688313984,-85.60835577801483
38.33048257828935,-85.60758462527023,38.37214614933009,-85.5665033988011
38.33096077037167,-85.56575599951879,38.37260963867098,-85.52465047589044
38.288296533714195,-85.69042245161309,38.32998942323958,-85.64941269100738
38.28880436572899,-85.64861868771766,38.33048257828935,-85.60758462527023
38.28929724349093,-85.60681434754846,38.33096077037167,-85.56575599951879
38.289775166697986,-85.56500944831754,38.331423999193376,-85.52392683099573
38.29023813505722,-85.52320400723823,38.331872264470576,-85.48209713694514
38.26140544331676,-85.85708432762486,38.286495761458845,-85.82976394832284
38.26178540701007,-85.82922635514826,38.28686920772335,-85.80189620711495
38.262158727239985,-85.80136809370359,38.287236008180116,-85.77402818174171
38.26252540390483,-85.7735095483835,38.28759616272929,-85.7461598773013
38.26288543690477,-85.74565072428099,38.28794967127274,-85.71829129889215
38.26323882614173,-85.7177916264893,38.288296533714195,-85.69042245161309
38.26358557151949,-85.68993226010205,38.28863674995919,-85.66255334056315
38.26392567294361,-85.6620726302131,38.28897031991505,-85.63468397084173
38.26425913032148,-85.63421274191663,38.28929724349093,-85.60681434754846
38.24811170517199,-85.60604494336114,38.289775166697986,-85.56500944831754
38.248589359562345,-85.56426374375476,38.29023813505722,-85.52320400723823
38.24905206751586,-85.5224820032212,38.29068614828499,-85.48139804152534
38.24949982874909,-85.48069973894592,38.29111920610665,-85.43959156839486
38.2499326429876,-85.4389169681157,38.29153730825684,-85.39778460506409
38.23669514832643,-85.85653762715253,38.26178540701007,-85.82922635514826
38.23707498375934,-85.82868912769898,38.262158727239985,-85.80136809370359
38.23744817797115,-85.8008403395721,38.26252540390483,-85.7735095483835
38.23781473086025,-85.77299126785937,38.26288543690477,-85.74565072428099
38.238174642326825,-85.74514191764858,38.26323882614173,-85.7177916264893
38.23852791227289,-85.71729229402781,38.26358557151949,-85.68993226010205
38.23887454060226,-85.68944240208545,38.26392567294361,-85.6620726302131
38.23921452722052,-85.66159224691017,38.26425913032148,-85.63421274191663
38.2395478720351,-85.63374183359096,38.26458594356227,-85.60635260030706
38.20316604609095,-85.89756253798075,38.24493192068655,-85.8567198193145
38.20692598457492,-85.60527641122327,38.248589359562345,-85.56426374375476
38.20740337020716,-85.5635188843912,38.24905206751586,-85.5224820032212
38.20786581781174,-85.52176081755103,38.24949982874909,-85.48069973894592
38.208313327105316,-85.48000222785899,38.2499326429876,-85.4389169681157
