Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
Meijer Express Gas Station,"10701 FISCHER PARK DR, LOUISVILLE, KY 40241, USA",ChIJB6I33oyeaYgRxREVuv0Mip8,38.296997999999995,-85.553686,"10511 FISCHER PARK DR, 40241",93,"10511 FISCHER PARK DR, 40241"
Marathon Gas,"11701 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJY8W8br2caYgR_gVhMhLPQCw,38.302571199999996,-85.53242929999999,"11701 WESTPORT RD, LOUISVILLE, KY 40245",77,"11701 WESTPORT RD, LOUISVILLE, KY 40245"
Kroger Fuel Center,"10022 BALLARDSVILLE RD, LOUISVILLE, KY 40241, USA",ChIJ-YhgddifaYgRgNywaniCIa0,38.3150617,-85.5597962,"10022 BALLARDSVILLE RD, SUITE FUEL, LOUISVILLE, KY 40241",69,"10022 BALLARDSVILLE RD, SUITE FUEL, LOUISVILLE, KY 40241"
VALERO/ Krispy Krunchy Chicken,"11401 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ1xc30b2eaYgRsehFMO2Mkqg,38.3007905,-85.53821769999999,"11401 WESTPORT RD, LOUISVILLE, KY 40241",77,"11401 WESTPORT RD, LOUISVILLE, KY 40241"
Star Food Mart,"11701 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJ6bjxVrqeaYgRZjm0m_3mKCc,38.3027289,-85.5323629,"11701 WESTPORT RD, LOUISVILLE, KY 40245",77,"11701 WESTPORT RD, LOUISVILLE, KY 40245"
ATM (Louisville Foodmart),"4102 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJr7dsFLueaYgRddEtMRuWeQ4,38.303731299999995,-85.5343935,"4102 MURPHY LN, LOUISVILLE, KY 40241",74,"4102 MURPHY LN, LOUISVILLE, KY 40241"
Liquor Junction,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241, USA",ChIJ0crP_PufaYgR9grwAVEUfp4,38.301901199999996,-85.54630859999999,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241",79,"11304 MAPLE BROOK DR, LOUISVILLE, KY 40241"
Speedy Cafe,"11301 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJpSCwsPCfaYgR63B7FmZbYRE,38.3000472,-85.54110360000001,"11301 WESTPORT RD, LOUISVILLE, KY 40241",77,"11301 WESTPORT RD, LOUISVILLE, KY 40241"
Meijer,"4100 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJdU9nV4yeaYgRYErIugEBQzc,38.2990934,-85.5539119,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",73,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Fincastle Wine & Liquor,"4106 MURPHY LN, LOUISVILLE, KY 40241, USA",ChIJr7dsFLueaYgRpHnMrayB8eM,38.3037724,-85.5345112,"4106 MURPHY LN, LOUISVILLE, KY 40241",74,"4106 MURPHY LN, LOUISVILLE, KY 40241"
Panera Bread,"10451 CHAMPION FARMS DR, LOUISVILLE, KY 40241, USA",ChIJHf64d2CeaYgRwxj5EuXl9EE,38.296172999999996,-85.560786,"10511 FISCHER PARK DR, 40241",61,"10511 FISCHER PARK DR, 40241"
Public Storage,"3520 CHAMBERLAIN LN, LOUISVILLE, KY 40241, USA",ChIJi25-AsCeaYgRT0b_05jwpjg,38.2946185,-85.5407381,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241",68,"3707 CHAMBERLAIN LN, 101, LOUISVILLE, KY 40241"
ALDI,"10620 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ2dQqTPOeaYgRDbDIj3c7PfE,38.2953244,-85.55400759999999,"9240 WESPORT RD, 40242",73,"9240 WESPORT RD, 40242"
Dunkin',"9913 BROWNSBORO RD, LOUISVILLE, KY 40241, USA",ChIJQ7a5qX-eaYgRD0S2iL_WuUc,38.3149885,-85.5637648,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241",71,"9801 BROWNSBORO RD, LOUISVILLE, KY 40241"
Chamberlain Liqours,"11300 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJZ_vEVS-faYgRla0S_uyGtMU,38.298732699999995,-85.5408554,"11300 WESTPORT RD, LOUISVILLE, KY 40241",77,"11300 WESTPORT RD, LOUISVILLE, KY 40241"
CVS Pharmacy,"4101 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJmcL4wIyeaYgRLm2jWiAymjo,38.2973925,-85.5578326,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",76,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Meijer Pharmacy,"4100 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJdU9nV4yeaYgR8v7-wmSsLLM,38.2992194,-85.5540103,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",73,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
The Vitamin Shoppe,"4000 TOWNE CENTER DR, LOUISVILLE, KY 40241, USA",ChIJiz9nvoyeaYgRSMZXJBFzQ00,38.2974521,-85.55477549999999,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241",64,"4131 TOWNE CENTER DR, LOUISVILLE, KY 40241"
Save-A-Step Liquors,"13704 LA GRANGE RD #1960, LOUISVILLE, KY 40245, USA",ChIJM_sj02mZaYgRMtaKTirxoOE,38.3014785,-85.4983194,"13704 LA GRANGE RD, LOUISVILLE, KY 40245",72,"13704 LA GRANGE RD, LOUISVILLE, KY 40245"
Marathon Gas,"13702 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJ9-asy2mZaYgRMMLnOAfUpqs,38.301249299999995,-85.49827870000001,"13702 LA GRANGE RD, LOUISVILLE, KY 40245",77,"13702 LA GRANGE RD, LOUISVILLE, KY 40245"
Kroger,"12450 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJC8mTiTeZaYgR1TeLdIbMhqs,38.290677599999995,-85.50839959999999,"12450 LA GRANGE RD, LOUISVILLE, KY 40245",77,"12450 LA GRANGE RD, LOUISVILLE, KY 40245"
Kroger Pharmacy,"12450 LA GRANGE RD, LOUISVILLE, KY 40245, USA",ChIJC8mTiTeZaYgRTg5DexWwbJQ,38.2906461,-85.5083916,"12450 LA GRANGE RD, LOUISVILLE, KY 40245",77,"12450 LA GRANGE RD, LOUISVILLE, KY 40245"
Cameron Pharmaceuticals,"12305 WESTPORT RD, LOUISVILLE, KY 40245, USA",ChIJ7Rmuga2eaYgRjG06CBb529o,38.3052912,-85.522722,"9240 WESPORT RD, 40242",68,"9240 WESPORT RD, 40242"
Kroger Fuel Center,"524 N 35TH ST, LOUISVILLE, KY 40212, USA",ChIJbakBrx1taYgRb4Mj0xwE2Ys,38.272053299999996,-85.8047613,"524 N 35TH ST, LOUISVILLE, KY 40212",73,"524 N 35TH ST, LOUISVILLE, KY 40212"
ChargePoint Charging Station,"460 NORTHWESTERN PKWY, LOUISVILLE, KY 40212, USA",ChIJr5_5A-9saYgRTJ2apfx0u20,38.270962,-85.82016,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203",62,"2038 NORTHWESTERN PKY, LOUISVILLE, KY 40203"
West End Food Mart Inc.,"4301 W MARKET ST, LOUISVILLE, KY 40212, USA",ChIJAZDaIOhsaYgRzjYARy1NSBk,38.2637444,-85.81956369999999,"4621 W MARKET ST, LOUISVILLE, KY 40212",69,"4621 W MARKET ST, LOUISVILLE, KY 40212"
Polly's Mini Mart,"LOUISVILLE, KY 40212, USA",ChIJW7yxXt1saYgRwn5PR8s4ihI,38.2630293,-85.8169178,"2901 BANK ST, LOUISVILLE, KY 40212",76,"2901 BANK ST, LOUISVILLE, KY 40212"
Eddie's Liquors,"4621 W MARKET ST, LOUISVILLE, KY 40212, USA",ChIJrW0m_-htaYgRwgKXQZSOci0,38.2650995,-85.8244754,"4621 W MARKET ST, LOUISVILLE, KY 40212",76,"4621 W MARKET ST, LOUISVILLE, KY 40212"
